Name,LOD1,LOD1 Hash,LOD2,LOD2 Hash,LOD3,LOD3 Hash,LOD4,LOD4 Hash,Collision,Common (Animation, if existant),Effect,Trait 1,Trait 2,Trait 3,Trait 4,Trait 5,Trait 6,Trait 7,Trait 8,Null Hashes indicate unfound files
ob_1000_0002,object/map_object/ob_1000_0002_l1.ice,ed\a910d5ab6beb46e92912b50316cc6e,object/map_object/ob_1000_0002_l2.ice,,object/map_object/ob_1000_0002_l3.ice,,object/map_object/ob_1000_0002_l4.ice,,object/map_object/ob_1000_0002_col.ice,61\93b07f1a85d6685de7ce2468917a4a,object/map_object/ob_1000_0002_com.ice,ca\0569d707c61a1c01e9546296034333,object/map_object/ob_1000_0002_eff.ice,,[Furniture],[Fu_Stock],[SendSit],[0],[0],[Common_1],[0],[0]
ob_1000_0003,object/map_object/ob_1000_0003_l1.ice,a7\b39869d8ac481c9eaa7cd5b1b92716,object/map_object/ob_1000_0003_l2.ice,,object/map_object/ob_1000_0003_l3.ice,,object/map_object/ob_1000_0003_l4.ice,,object/map_object/ob_1000_0003_col.ice,79\e2f434afa04b177be583df006c8f03,object/map_object/ob_1000_0003_com.ice,fb\c4dead6a49acc05f5a3551a82b7145,object/map_object/ob_1000_0003_eff.ice,,[Furniture],[Fu_Stock],[SendSit],[0],[0],[Common_1],[0],[0]
ob_1000_0004,object/map_object/ob_1000_0004_l1.ice,49\4b9328bddb1db112be880aec552ee0,object/map_object/ob_1000_0004_l2.ice,,object/map_object/ob_1000_0004_l3.ice,,object/map_object/ob_1000_0004_l4.ice,,object/map_object/ob_1000_0004_col.ice,b8\1dff7ff5243e90b94f19d40115ed77,object/map_object/ob_1000_0004_com.ice,fa\37375af48a0fa744a80a441c22ba51,object/map_object/ob_1000_0004_eff.ice,,[Furniture],[Fu_Stock],[SendSit],[0],[0],[Common_1],[0],[0]
ob_1000_0005,object/map_object/ob_1000_0005_l1.ice,3d\7d263f1adf358b0b0ce2b91cd10558,object/map_object/ob_1000_0005_l2.ice,,object/map_object/ob_1000_0005_l3.ice,,object/map_object/ob_1000_0005_l4.ice,,object/map_object/ob_1000_0005_col.ice,03\98c365b9760c4920ed8d7b794f5f16,object/map_object/ob_1000_0005_com.ice,d8\d034456437e5873a3aa3ab1ca417d2,object/map_object/ob_1000_0005_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0006,object/map_object/ob_1000_0006_l1.ice,f6\b11bf2b481195f1cb532ca301fa82c,object/map_object/ob_1000_0006_l2.ice,,object/map_object/ob_1000_0006_l3.ice,,object/map_object/ob_1000_0006_l4.ice,,object/map_object/ob_1000_0006_col.ice,aa\049fe6a1b7128cf6a18c21aae0441f,object/map_object/ob_1000_0006_com.ice,eb\1d271b6e39ecd23bbd78d7e7b6a25e,object/map_object/ob_1000_0006_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0008,object/map_object/ob_1000_0008_l1.ice,d8\98714ad950448a5350b7849290e0c2,object/map_object/ob_1000_0008_l2.ice,,object/map_object/ob_1000_0008_l3.ice,,object/map_object/ob_1000_0008_l4.ice,,object/map_object/ob_1000_0008_col.ice,dd\194556d839d2ae5ce13ae6267b1bb3,object/map_object/ob_1000_0008_com.ice,e7\57819fd57e9ec647e898d43258009c,object/map_object/ob_1000_0008_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0009,object/map_object/ob_1000_0009_l1.ice,2d\bda9b341bdd86a7f850395d6a05981,object/map_object/ob_1000_0009_l2.ice,,object/map_object/ob_1000_0009_l3.ice,,object/map_object/ob_1000_0009_l4.ice,,object/map_object/ob_1000_0009_col.ice,c9\f6f411c90c37a145dc2be075969d58,object/map_object/ob_1000_0009_com.ice,c5\71fbb508ad02526dfc1dc580d4fbe7,object/map_object/ob_1000_0009_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0010,object/map_object/ob_1000_0010_l1.ice,37\19fcdba1d1165ffd031e36c9464314,object/map_object/ob_1000_0010_l2.ice,,object/map_object/ob_1000_0010_l3.ice,,object/map_object/ob_1000_0010_l4.ice,,object/map_object/ob_1000_0010_col.ice,79\a5ea3f36a23b9aa6ebefcfc76c207e,object/map_object/ob_1000_0010_com.ice,e4\da5ba667e994841e6ce841a21d0ccf,object/map_object/ob_1000_0010_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0012,object/map_object/ob_1000_0012_l1.ice,bf\f21a51d12be41b76a8dd25832934f0,object/map_object/ob_1000_0012_l2.ice,,object/map_object/ob_1000_0012_l3.ice,,object/map_object/ob_1000_0012_l4.ice,,object/map_object/ob_1000_0012_col.ice,d4\ff00c1f917de237203ed6a8794f621,object/map_object/ob_1000_0012_com.ice,67\b5216e2df75d457cbce172264d6553,object/map_object/ob_1000_0012_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0013,object/map_object/ob_1000_0013_l1.ice,fc\4d8aebf71a19c51b16fd9569f21840,object/map_object/ob_1000_0013_l2.ice,,object/map_object/ob_1000_0013_l3.ice,,object/map_object/ob_1000_0013_l4.ice,,object/map_object/ob_1000_0013_col.ice,b0\2ade284a5d3fa7f22c54de9d286708,object/map_object/ob_1000_0013_com.ice,d2\a9c02e652bb755d0490118db7b6cff,object/map_object/ob_1000_0013_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0014,object/map_object/ob_1000_0014_l1.ice,29\3985235ad017157d2cd375cf157e21,object/map_object/ob_1000_0014_l2.ice,,object/map_object/ob_1000_0014_l3.ice,,object/map_object/ob_1000_0014_l4.ice,,object/map_object/ob_1000_0014_col.ice,9b\d31d491eba8e3568928542ec8ff99a,object/map_object/ob_1000_0014_com.ice,ad\30f3cbc677616e034484370e328bb3,object/map_object/ob_1000_0014_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0015,object/map_object/ob_1000_0015_l1.ice,0a\a340a46ea6bdff7b103691c38d1d12,object/map_object/ob_1000_0015_l2.ice,,object/map_object/ob_1000_0015_l3.ice,,object/map_object/ob_1000_0015_l4.ice,,object/map_object/ob_1000_0015_col.ice,92\f6041298e728492c8f2df67f73bad4,object/map_object/ob_1000_0015_com.ice,84\061b7c18427890b83555870889a59a,object/map_object/ob_1000_0015_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0017,object/map_object/ob_1000_0017_l1.ice,63\6f23e899b30f6066dbd0b2a33afee7,object/map_object/ob_1000_0017_l2.ice,,object/map_object/ob_1000_0017_l3.ice,,object/map_object/ob_1000_0017_l4.ice,,object/map_object/ob_1000_0017_col.ice,fe\2676b7038d4d3f37becc21b4dc6e49,object/map_object/ob_1000_0017_com.ice,80\52b1cb982c71f0e6c3148dfba96aec,object/map_object/ob_1000_0017_eff.ice,,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1],[0],[0]
ob_1000_0018,object/map_object/ob_1000_0018_l1.ice,32\9c1e2c5a0b7c26997ee192770ec1a2,object/map_object/ob_1000_0018_l2.ice,,object/map_object/ob_1000_0018_l3.ice,,object/map_object/ob_1000_0018_l4.ice,,object/map_object/ob_1000_0018_col.ice,76\aecf36748a6065574129f4ec1a2ec9,object/map_object/ob_1000_0018_com.ice,5f\4add41b8bcb02c8527a247f9f558c7,object/map_object/ob_1000_0018_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
ob_1000_0019,object/map_object/ob_1000_0019_l1.ice,9a\d5d65d003401101ce7d98bebf199a9,object/map_object/ob_1000_0019_l2.ice,,object/map_object/ob_1000_0019_l3.ice,,object/map_object/ob_1000_0019_l4.ice,,object/map_object/ob_1000_0019_col.ice,ae\71d1e46590e39673faa4786bfb36d8,object/map_object/ob_1000_0019_com.ice,cb\7acb3b12f391c8973446aff1d3d9a9,object/map_object/ob_1000_0019_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
ob_1000_0020,object/map_object/ob_1000_0020_l1.ice,fd\e84b78ffa8a4fa7767f32eaf756f17,object/map_object/ob_1000_0020_l2.ice,,object/map_object/ob_1000_0020_l3.ice,,object/map_object/ob_1000_0020_l4.ice,,object/map_object/ob_1000_0020_col.ice,b6\4fa5a1382872d74537a99b5cc3a91f,object/map_object/ob_1000_0020_com.ice,0d\163901a1c66875451a5b5ee75ea20b,object/map_object/ob_1000_0020_eff.ice,,[Furniture],[Fu_Stock],[SendLiedown],[0],[0],[Common_1],[0],[0]
ob_1000_0023,object/map_object/ob_1000_0023_l1.ice,8b\873876ab88c6b05e748e9067f8a715,object/map_object/ob_1000_0023_l2.ice,,object/map_object/ob_1000_0023_l3.ice,,object/map_object/ob_1000_0023_l4.ice,,object/map_object/ob_1000_0023_col.ice,91\8725f82facc88c5e795cf3e451e239,object/map_object/ob_1000_0023_com.ice,29\51a48a4233a650a76e6e53dca6ec50,object/map_object/ob_1000_0023_eff.ice,,[Furniture],[Fu_Stock],[SendTakeBath],[0],[0],[Common_1],[0],[0]
ob_1000_0031,object/map_object/ob_1000_0031_l1.ice,ab\bb33f2bfe41b2368adf22dd838c6a8,object/map_object/ob_1000_0031_l2.ice,,object/map_object/ob_1000_0031_l3.ice,,object/map_object/ob_1000_0031_l4.ice,,object/map_object/ob_1000_0031_col.ice,89\f9cab967130c0c5752556bcca6c3ae,object/map_object/ob_1000_0031_com.ice,de\fd173d45587b550e53757f69ed3cfd,object/map_object/ob_1000_0031_eff.ice,58\f7900088e477ab190b5d2adf6baf15,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1_Light_3],[Group_Light],[0]
ob_1000_0032,object/map_object/ob_1000_0032_l1.ice,5c\612ec500408b267ac82e847071a55e,object/map_object/ob_1000_0032_l2.ice,,object/map_object/ob_1000_0032_l3.ice,,object/map_object/ob_1000_0032_l4.ice,,object/map_object/ob_1000_0032_col.ice,37\e9eca68a5623c2b5a3ba0a1446d71a,object/map_object/ob_1000_0032_com.ice,cc\4cf00034dcf69f3e203e9053c8d2e3,object/map_object/ob_1000_0032_eff.ice,c4\4be539189a1afd38ec5c74c163eae7,[Furniture],[Fu_Stock],[0],[Access],[0],[Common_1_Light_3],[Group_Light],[0]
